screen_name,SRR_accession,num_reads
K562_AsCas12a_target_none_AX227_1,SRR15164740,1092153349
K562_SpCas9_target-1_none_AC001_1,SRR15164734,511683432
K562_SpCas9_target-1_none_AC001_2,SRR15164726,226251532
K562_SpCas9_target-1_none_AX227_1,SRR15164730,487367214
K562_SpCas9_target-1_oBA701-PAGE_AC001_1,SRR15164724,300013212
K562_SpCas9_target-1_oBA701-PCR_AX227_1,SRR19616480,188563684
K562_SpCas9_target-1_oBA701_AC001_1,SRR15164739,385545354
K562_SpCas9_target-1_oBA701_AC001_2,SRR15164738,252263190
K562_SpCas9_target-1_oBA701_AX227_1,SRR15164741,1247199391
K562_SpCas9_target-1_oBA701_AX227_2,SRR15164729,552807775
K562_SpCas9_target-1_oJAH158_AC001_1,SRR19616479,370871893
K562_SpCas9_target-1_oJAH159_AC001_1,SRR15164728,386436701
K562_SpCas9_target-1_oJAH160_AC001_1,SRR15164727,273543623
K562_SpCas9_target-1_oJAH165_AC001_1,SRR15164725,308348710
K562_SpCas9_target-2_none_AC001_1,SRR15164735,491521002
K562_SpCas9_target-2_none_AX227_1,SRR15164731,220000640
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868801,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868802,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868803,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868804,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868805,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868806,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868807,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868808,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868809,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868810,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868811,100000000
K562_SpCas9_target-2_oBA701_AX227_1,SRR19868812,78037908
K562_SpCas9_target-3_none_AC001_1,SRR15164737,493803207
K562_SpCas9_target-3_none_AC001_2,SRR15164736,584666192
K562_SpCas9_target-4_none_AC001_1,SRR15164733,590361717
K562_SpCas9_target-4_none_AC001_2,SRR15164732,536051047
K562_none_none_none_AC001_1,SRR19616477,300981380
K562_none_none_none_AC001_2,SRR19616476,124915271
HeLa_PE2_rep1,SRR14724328,420685828
HeLa_PE2_rep2,SRR14724327,171390008
HeLa_PE3+50_rep1,SRR14724326,229364033
HeLa_PE3+50_rep2,SRR14724325,290852565
HeLa_PE3-50_rep1,SRR14724324,234577915
HeLa_PE3-50_rep2,SRR14724323,150012222
HeLa_unedited_rep1,SRR16217457,110237
K562_PE2_rep1,SRR14724332,118658517
K562_PE2_rep2,SRR14724331,188344211
K562_PE3+50_rep1,SRR14724330,230946050
K562_PE3+50_rep2,SRR14724329,206570163
K562_unedited_rep1,SRR16217459,685663
K562_unedited_rep2,SRR16217458,814280
